Kategorie / Anwendungsbereich;Hersteller / Produkt;Version;Seit Release;Status;Lizenz;Erläuterung
Schnittstellendokumentation;https://swagger.io/resources/open-api/[OpenAPI];3.0.x;4.0.0;verbindlich;Apache License 2.0;
Code-Generierung;https://github.com/OpenAPITools/openapi-generator/[OpenApi Generator];>6.0.0;4.0.0;verbindlich;Apache License 2.0;
Hilfeanwendung;https://xwiki.com/en/[Xwiki];8.2.x;1.6.0;verbindlich;LGPL 2.1;Vorerst ausschließlich für den BS Hilfeanwendung
Test-Framework;https://selenium.dev[Selenium];<<spring-boot-dependencies,icon:leaf[]>>;5.0.0;bestandsgeschützt;;Selenium soll nach Möglichkeit nicht mehr verwendet werden. xref:einstieg:produktkatalog/technologiestackTypescriptAngular.adoc#Tests[Playwright] ist der Standard für Testautomatisierungen.
