Kategorie / Anwendungsbereich;Hersteller / Produkt;Version;Seit Release;Status;Lizenz;Erläuterung
Programmiersprache für die Anwendungsentwicklung;OpenJDK (Eclipse Temurin von Adoptium) ;JDK: 17.x, Compile Target: 8, 17;3.0.0;verbindlich;Apache License, Version 2.0,Eclipse Distribution License 1.0 (BSD), GPL v2 with Classpath Exception (GPLv2+CE) GPL v2 with Assembly Exception (GPLv2+Assembly), Eclipse Public License 2.0; Installationsanweisungen: https://adoptium.net/de/installation/linux/
Programmiersprache für die Bibliotheksentwicklung;OpenJDK (Eclipse Temurin von Adoptium);JDK: 17.x, Compile Target: 8 ;3.0.0;verbindlich;Apache License, Version 2.0,Eclipse Distribution License 1.0 (BSD), GPL v2 with Classpath Exception (GPLv2+CE) GPL v2 with Assembly Exception (GPLv2+Assembly), Eclipse Public License 2.0; Installationsanweisungen: https://adoptium.net/de/installation/linux/
