Kategorie / Anwendungsbereich;Hersteller / Produkt;Version;Seit Release;Status;Lizenz;Erläuterung
Programmiersprache für die Anwendungsentwicklung;https://adoptium.net/de/temurin/releases[OpenJDK (Eclipse Temurin von Adoptium)];JDK: 25.x, Compile Target: 25;5.0.0;verbindlich;Apache License, Version 2.0,Eclipse Distribution License 1.0 (BSD), GPL v2 with Classpath Exception (GPLv2+CE) GPL v2 with Assembly Exception (GPLv2+Assembly), Eclipse Public License 2.0;Installations-anweisungen: https://adoptium.net/de/installation/
Programmiersprache für die Bibliotheksentwicklung;https://adoptium.net/de/temurin/releases[OpenJDK (Eclipse Temurin von Adoptium)];JDK: 25.x, Compile Target: 25;5.0.0;verbindlich;Apache License, Version 2.0,Eclipse Distribution License 1.0 (BSD), GPL v2 with Classpath Exception (GPLv2+CE) GPL v2 with Assembly Exception (GPLv2+Assembly), Eclipse Public License 2.0;Installations-anweisungen: https://adoptium.net/de/installation/
