Kategorie / Anwendungsbereich;Hersteller / Produkt;Version;Seit Release;Status;Lizenz;Erläuterung
Code-Generierung;https://github.com/OpenAPITools/openapi-generator/[OpenApi Generator];5.3.1;2.4.0;verbindlich;Apache License 2.0;
Hilfeanwendung;https://xwiki.com/en/[Xwiki];8.2.x;1.6.0;verbindlich;LGPL 2.1;Vorerst ausschließlich für den BS Hilfeanwendung
Test-Framework;https://selenium.dev[Selenium];4.x;2.5.0;empfohlen;Apache License Version 2.0;"* Verwaltung der Version über Spring Boot.
* Tool für eine Browserautomatisierung der GUI Tests
* Konkret empfehlen sich folgende Bibliotheken: selenium-java, selenium-api, selenium-support, selenium-remote-driver, selenium-firefox-driver, selenium-htmlunit-driver"
